"Сезон коллекции";"Вид сезона";"Название коллекции";"Первая цена";"Текущая цена";"Название модели";"Уникальный код модели";"Линейка размеров";Пол;"Тип обуви";"Возможные цвета";"Материал изготовления";"Страна изготовления";url
;;;10750;8600;IL-X8060-3;IL-X8060-3;40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;бежевый;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/il-x8060-3
;;;10750;8600;IL-X8060-6;IL-X8060-6;41,42,43,44,45;Мужской;ПОЛУБОТИНКИ;синий;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/il-x8060-6
;;;10750;8600;IL-X8064-1;IL-X8064-1;42,43,44,45,46;Мужской;ПОЛУБОТИНКИ;черный;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/il-x8064-1
;;;10750;8600;IL-X8067-2;IL-X8067-2;39,40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;коричневый;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/il-x8067-2
;;;8250;6600;IO-X0513-18;IO-X0513-18;40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;коричневый;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/io-x0513-18
;;;8250;6600;IO-X0513-5;IO-X0513-5;40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;красный;"Полуботинки из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/io-x0513-5
;;;5750;4600;WN-LNL6-6R1;WN-LNL6-6R1;40,41,42,43,44;Мужской;ПОЛУБОТИНКИ;синий;"Полуботинки из велюра с контрастной кожаной отделкой.";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/loafers-and-moccasins/wn-lnl6-6r1
;;;;7400;HM-LRY1-6;HM-LRY1-6;41,42,43,44,45;Мужской;"НА ШНУРКАХ";синий;"Полуботинки на шнурках из велюра";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/hm-lry1-6
;;;;9400;HM-SLV1-1;HM-SLV1-1;40,41,42,43,44,45;Мужской;"НА ШНУРКАХ";черный;"Полуботинки на шнурках из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/hm-slv1-1
;;;;9400;HM-SLV1-4;HM-SLV1-4;40,41,42,43,44;Мужской;"НА ШНУРКАХ";белый;"Полуботинки на шнурках из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/hm-slv1-4
;;;;9400;HM-SLV1-6;HM-SLV1-6;41,42,43,44,45,46;Мужской;"НА ШНУРКАХ";синий;"Полуботинки на шнурках из велюра";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/hm-slv1-6
;;;;9400;SD-TOL2-1;SD-TOL2-1;40,41,42,43,44,45;Мужской;"НА ШНУРКАХ";черный;"Полуботинки на шнурках из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sd-tol2-1
;;;;13900;SF-LUC1-1;SF-LUC1-1;41,42,43;Мужской;"НА ШНУРКАХ";черный;"Кожаные полуботинки на шнурках";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-luc1-1
;;;;13900;SF-LUC1-3;SF-LUC1-3;42,43,44;Мужской;"НА ШНУРКАХ";бежевый;"Полуботинки на шнурках из велюра";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-luc1-3
;;;;13900;SF-LUC3-3;SF-LUC3-3;41,42,43;Мужской;"НА ШНУРКАХ";бежевый;"Ботинки на шнурках из велюра с перфорацией";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-luc3-3
;;;12050;9640;DB-X1597-1;DB-X1597-1;;Мужской;"НА ШНУРКАХ";черный;"Полуботинки на шнурках из лаковой кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/db-x1597-1
;;;5750;4600;FG-RDS4-3;FG-RDS4-3;41,42,43,44,45;Мужской;"НА ШНУРКАХ";бежевый;"Полуботинки на шнурках из кожи.";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/fg-rds4-3
;;;12050;9640;SF-VCO1-1;SF-VCO1-1;41,42,43,44,45;Мужской;"НА ШНУРКАХ";черный;"Полуботинки на шнурках из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-vco1-1
;;;12050;9640;SF-VCO2-3;SF-VCO2-3;39,40,41,42,43,44;Мужской;"НА ШНУРКАХ";бежевый;"Полуботинки на шнурках из кожи.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-vco2-3
;;;12050;9640;SF-VCO2-6;SF-VCO2-6;40,41,42,43,44;Мужской;"НА ШНУРКАХ";синий;"Полуботинки на шнурках из велюра.";Италия;http://www.carlopazolini.com/ru/collection/men/shoes/lace-ups/sf-vco2-6
;;;;6400;HM-GRF1-4;HM-GRF1-4;40,41,42,43,44,45,46;Мужской;МОКАСИНЫ;белый;"Кожаные мокасины с металлической фурнитурой";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/hm-grf1-4
;;;;6900;HM-GRF2-1;HM-GRF2-1;40,41,42,43,44,45;Мужской;МОКАСИНЫ;черный;"Мокасины из кожи с принтом";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/hm-grf2-1
;;;;7400;JH-LED2-1R3;JH-LED2-1R3;40,41,42,43,44;Мужской;МОКАСИНЫ;черный;"Кожаные мокасины с отделкой из плетеной кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/jh-led2-1r3
;;;;7400;JH-LED2-2R3;JH-LED2-2R3;40,41,42,43,44;Мужской;МОКАСИНЫ;коричневый;"Кожаные мокасины с отделкой из плетеной кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/jh-led2-2r3
;;;;7400;JH-LED2-6R1;JH-LED2-6R1;40,41,42,43,44;Мужской;МОКАСИНЫ;синий;"Кожаные мокасины с отделкой из плетеной кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/jh-led2-6r1
;;;;5900;JH-X2001-6R2;JH-X2001-6R2;40,41,42,43,44;Мужской;МОКАСИНЫ;синий;"Мокасины из велюра";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/jh-x2001-6r2
;;;;7400;JH-X3501-6;JH-X3501-6;40,41,42,43,44,45;Мужской;МОКАСИНЫ;синий;"Мокасины из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/moccasins/jh-x3501-6
;;;;7900;FG-LTS1-1R2;FG-LTS1-1R2;40,41,42,43,44,45,46;Мужской;СНИКЕРЫ;черный;"Кожаные кроссовки на липучках";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sneakers/fg-lts1-1r2
;;;;7900;FG-LTS3-1R2;FG-LTS3-1R2;39,40,41,42,43,44,45;Мужской;СНИКЕРЫ;черный;"Кожаные кроссовки на шнурках";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sneakers/fg-lts3-1r2
;;;;6400;HM-AMU3-6;HM-AMU3-6;40,41,42,43,44,45;Мужской;СНИКЕРЫ;синий;"Кеды на шнурках из велюра";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sneakers/hm-amu3-6
;;;;7400;JH-DOM3-6;JH-DOM3-6;40,41,42,43,44,45;Мужской;СНИКЕРЫ;синий;"Кроссовки на шнурках из велюра";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sneakers/jh-dom3-6
;;;;4400;HM-X0121-1R2;HM-X0121-1R2;40,41,42,43,44,45,46;Мужской;САНДАЛИИ;черный;"Сандалии из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sandals/hm-x0121-1r2
;;;;4400;HM-X0121-2DK;HM-X0121-2DK;40,41,42,43,44,45;Мужской;САНДАЛИИ;коричневый;"Сандалии из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sandals/hm-x0121-2dk
;;;;4400;HM-X3891-1R1;HM-X3891-1R1;40,41,42,43,44,45,46;Мужской;САНДАЛИИ;черный;"Сандалии из кожи";Китай;http://www.carlopazolini.com/ru/collection/men/shoes/sandals/hm-x3891-1r1
